n	a [Pa]	b
0	1.0	0.0
1	2.00000023841858	0.0
2	3.27000045776367	0.0
3	4.75850105285645	0.0
4	6.60000133514404	0.0
5	8.93450164794922	0.0
6	11.9703016281128	0.0
7	15.9495029449463	0.0
8	21.1349029541016	0.0
9	27.8526058197021	0.0
10	36.5041084289551	0.0
11	47.5806083679199	0.0
12	61.6779098510742	0.0
13	79.5134124755859	0.0
14	101.944023132324	0.0
15	130.051025390625	0.0
16	165.079025268555	0.0
17	208.497039794922	0.0
18	262.021057128906	0.0
19	327.64306640625	0.0
20	407.657104492188	0.0
21	504.680114746094	0.0
22	621.680114746094	0.0
23	761.984191894531	0.0
24	929.294189453125	0.0
25	1127.69018554688	0.0
26	1364.34020996094	0.0
27	1645.71032714844	0.0
28	1979.16040039062	0.0
29	2373.04052734375	0.0
30	2836.78051757812	0.0
31	3381.00073242188	0.0
32	4017.541015625	0.0
33	4764.39111328125	0.0
34	5638.791015625	0.0
35	6660.34130859375	0.0
36	7851.2314453125	0.0
37	9236.572265625	0.0
38	10866.3017578125	0.0
39	12783.703125	0.0
40	15039.302734375	0.0
41	17693.00390625	8.17541323527848e-09
42	20119.201171875	0.00696002459153533
43	21686.501953125	0.0280100405216217
44	22436.30078125	0.0637200623750687
45	22389.80078125	0.113602079451084
46	21877.59765625	0.156224086880684
47	21214.998046875	0.200350105762482
48	20325.8984375	0.246741116046906
49	19309.6953125	0.294403105974197
50	18161.896484375	0.343381136655807
51	16960.896484375	0.392891138792038
52	15625.99609375	0.44374018907547
53	14290.9951171875	0.494590193033218
54	12869.59375	0.546304166316986
55	11895.8623046875	0.581041514873505
56	10918.1708984375	0.615818440914154
57	9936.521484375	0.650634944438934
58	8909.9921875	0.685899913311005
59	7883.421875	0.721165955066681
60	7062.1982421875	0.749378204345703
61	6436.263671875	0.770637512207031
62	5805.3212890625	0.791946947574615
63	5169.61083984375	0.81330394744873
64	4533.90087890625	0.834660947322845
65	3898.20092773438	0.856018006801605
66	3257.08081054688	0.877429008483887
67	2609.20068359375	0.898908019065857
68	1961.310546875	0.920387029647827
69	1313.48034667969	0.941865026950836
70	659.375244140625	0.963406026363373
71	4.80482578277588	0.984951972961426
72	0.0	1.0
